Placement,Placement url,Type,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate
abplive.com,http://abplive.com,Site,2,76,2.63%,USD,0.01,0.02,0.00,0.00,0.00%
"Mobile App: Jewel & Gem Blast - Match 3 Puzzle Game (Google Play), by Ivy",https://play.google.com/store/apps/details?id=com.bestheart.gemsjewels.junglepuzzlegame,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Dukh Bhanjani Sahib Audio (Google Play), by RayTechnos",https://play.google.com/store/apps/details?id=com.raytechnos.dukhbhanjanisahib,Mobile application,1,1,100.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Airtel Xstream (Airtel TV): Live TV, Movies, Shows (Google Play), by Airtel",https://play.google.com/store/apps/details?id=tv.accedo.airtel.wynk,Mobile application,1,39,2.56%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Voice recorder - Voz (iTunes App Store), by Hieu Nguyen",https://itunes.apple.com/us/app/id1336782987,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
mobileapp::10002-ca-app-pub-1309517987275811, --,Mobile application,0,7,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Calculator Lock – Video Lock & Photo Vault – HideX (Google Play), by Flatfish Studio",https://play.google.com/store/apps/details?id=com.flatfish.cal.privacy,Mobile application,0,21,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Photo Collage Maker: Pic Collage & Photo Editor (Google Play), by Lyrebird Studio",https://play.google.com/store/apps/details?id=com.lyrebirdstudio.photocollageeditor,Mobile application,1,7,14.29%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Like- Status for Whatsap  New (iTunes App Store), by Nexogen Private Limited",https://itunes.apple.com/us/app/id1114559997,Mobile application,1,1,100.00%,USD,0.02,0.02,0.00,0.00,0.00%
"Mobile App: Bubble Pop Puzzle (Google Play), by Free Bubble Shooter Games",https://play.google.com/store/apps/details?id=pop.puzzle.bubble,Mobile application,1,5,20.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: 👼Glitter Neon Angel Wings Photo Effects Editor👼 (Google Play), by Minjon",https://play.google.com/store/apps/details?id=com.Minjon.Glitter.Neon.Angel.Wings,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: IMVU: 3D Avatar Creator & Chat (iTunes App Store), by IMVU",https://itunes.apple.com/us/app/id919745844,Mobile application,0,12,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Word Search - Classic Find Word Search Puzzle Game (Google Play), by Brainit Games",https://play.google.com/store/apps/details?id=word.search.wordsearch.wordgames.kids.adults.free.puzzle.games,Mobile application,1,29,3.45%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Fun Race 3D (Google Play), by Good Job Games",https://play.google.com/store/apps/details?id=com.slippy.linerusher,Mobile application,0,9,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Azar (Google Play), by Hyperconnect inc",https://play.google.com/store/apps/details?id=com.azarlive.android,Mobile application,0,24,0.00%,USD, --,0.00,0.00,0.00,0.00%
newstrend.news,http://newstrend.news,Site,1,6,16.67%,USD,0.01,0.01,0.00,0.00,0.00%
deviltechz.com,http://deviltechz.com,Site,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Anniversary Video Maker with Song & Music (Google Play), by Magic Bit - Particle.ly",https://play.google.com/store/apps/details?id=com.anniversarymoviemakerwithsong.photovideomaker.animationmaker,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Bubble Shooter Legend (Google Play), by Bubble Joy",https://play.google.com/store/apps/details?id=com.linkdesks.iBubble,Mobile application,1,7,14.29%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Maharashtra State Board Books (Google Play), by Mukesh Kaushik",https://play.google.com/store/apps/details?id=maharashtra.state.board.textbooks,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Malayalam NewsPlus Made in India (Google Play), by Veooz Inc News from top publishers",https://play.google.com/store/apps/details?id=com.veooz.ml,Mobile application,0,8,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Ramp Car Stunt 3D : Impossible Track Racing (Google Play), by GamePace",https://play.google.com/store/apps/details?id=com.gp.impossible.ramp.car.stunt.tracks,Mobile application,0,10,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: DroidCam Wireless Webcam (Google Play), by Dev47Apps",https://play.google.com/store/apps/details?id=com.dev47apps.droidcam,Mobile application,1,2,50.00%,USD,0.01,0.01,0.00,0.00,0.00%
naidunia.com,http://naidunia.com,Site,1,1,100.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Polaris Office - Free Docs, Sheets, Slides + PDF (Google Play), by Infraware Inc.",https://play.google.com/store/apps/details?id=com.infraware.office.link,Mobile application,0,10,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Parallel Space - Multiple accounts & Two face (Google Play), by LBE Tech",https://play.google.com/store/apps/details?id=com.lbe.parallel.intl,Mobile application,0,10,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: VideoShow Video Editor, Video Maker, Photo Editor (Google Play), by VideoShow EnjoyMobi Video Editor & Video Maker Inc",https://play.google.com/store/apps/details?id=com.xvideostudio.videoeditor,Mobile application,2,2,100.00%,USD,0.01,0.02,0.00,0.00,0.00%
"Mobile App: Block! Hexa Puzzle™ (Google Play), by BitMango",https://play.google.com/store/apps/details?id=com.bitmango.go.blockhexapuzzle,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Voice Recorder (Google Play), by Splend Apps",https://play.google.com/store/apps/details?id=com.splendapps.vox,Mobile application,0,13,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Fast charging - Charge Battery Fast (Google Play), by ECO MOBILE VN",https://play.google.com/store/apps/details?id=com.eco.fastcharger,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Bubble Freedom (Google Play), by Bubble Shooter Artworks",https://play.google.com/store/apps/details?id=freedom.bubble,Mobile application,0,27,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: ग्राम पंचायत ऑनलाइन (Google Play), by Insaf Digital",https://play.google.com/store/apps/details?id=com.grampanchayatonlinesewa,Mobile application,1,1,100.00%,USD,0.02,0.02,0.00,0.00,0.00%
"Mobile App: Marble Mission (Google Play), by mobirix",https://play.google.com/store/apps/details?id=com.mobirix.zumaking2,Mobile application,1,15,6.67%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Tricky Taps (Google Play), by Crazy Labs by TabTale",https://play.google.com/store/apps/details?id=com.crazylabs.tricky.traps.game,Mobile application,0,14,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Way2News - Short News App, Local News (Google Play), by Way2online ( Formerly Way2SMS )",https://play.google.com/store/apps/details?id=sun.way2sms.hyd.com,Mobile application,2,152,1.32%,USD,0.01,0.02,0.00,0.00,0.00%
"Mobile App: Bubble Shooter: Magic Snail (Google Play), by BubbleShooter Studio",https://play.google.com/store/apps/details?id=com.kudo.bubblebirdrescue2,Mobile application,0,23,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: मराठी स्टेटस - DP, SMS, Jokes, Video, Photo Status (Google Play), by Parth MobiSoft",https://play.google.com/store/apps/details?id=com.parthmobisoft.newmarathidpstatus,Mobile application,1,2,50.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Fruits Legend (Google Play), by appgo",https://play.google.com/store/apps/details?id=com.appgame7.friutslegend,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Pink rose gold live wallpaper (Google Play), by New HD Live wallpapers",https://play.google.com/store/apps/details?id=com.hdwallpapers.pink.rose,Mobile application,1,2,50.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Assistive Touch IOS - Screen Recorder (Google Play), by FA developer",https://play.google.com/store/apps/details?id=com.tuanfadbg.assistivetouchscreenrecorder,Mobile application,2,1,200.00%,USD,0.01,0.02,0.00,0.00,0.00%
"Mobile App: Sweet Fever (Google Play), by Mobileguru",https://play.google.com/store/apps/details?id=com.mobileguru.sweet.candyfever.free,Mobile application,0,13,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Hindi Dp, Images, Status, Shayari, Jokes For Whats (Google Play), by Padma Status Apps",https://play.google.com/store/apps/details?id=com.padmavati.mywhatsappdp,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: My Talking Tom (Google Play), by Outfit7 Limited",https://play.google.com/store/apps/details?id=com.outfit7.mytalkingtomfree,Mobile application,2,29,6.90%,USD,0.01,0.02,0.00,0.00,0.00%
"Mobile App: My Talking Tom Friends (iTunes App Store), by Outfit7 Limited",https://itunes.apple.com/us/app/id1473424857,Mobile application,0,9,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: File Manager & Clean Booster (Google Play), by Tools Dev",https://play.google.com/store/apps/details?id=file.manager.classification.dir.tree.structure.ftp,Mobile application,1,1,100.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Drink Neon Cocktail Simulator (Google Play), by BarabApps",https://play.google.com/store/apps/details?id=com.barabapps.drinkneon,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Save The Fish! (Google Play), by MesibaGames",https://play.google.com/store/apps/details?id=com.mesibagames.SaveTheFish,Mobile application,1,5,20.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Mindi Multiplayer Online Game - Play With Friends (Google Play), by Artoon Games",https://play.google.com/store/apps/details?id=com.artoon.mindi,Mobile application,0,7,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Samsung Max - Data Savings & Privacy Protection (Google Play), by Samsung Max apps",https://play.google.com/store/apps/details?id=com.opera.max.oem,Mobile application,1,2,50.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: VidStatus - Share Your Video Status (Google Play), by VidStatus Team",https://play.google.com/store/apps/details?id=com.vivashow.share.video.chat,Mobile application,52,"1,946",2.67%,USD,0.01,0.53,0.00,0.00,0.00%
buddymeter.com,http://buddymeter.com,Site,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: NR Shooter™ (Google Play), by NRS Magic LTD",https://play.google.com/store/apps/details?id=com.nrsmagic.shooter,Mobile application,1,3,33.33%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Mendicot (Google Play), by Tilted Head Productions",https://play.google.com/store/apps/details?id=com.thp.mendicot,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Commando Adventure Assassin: Free Games Offline (Google Play), by spiritapps",https://play.google.com/store/apps/details?id=com.spirit.commando.war.action.apps,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Bible Verses Greetings (Google Play), by Techzit",https://play.google.com/store/apps/details?id=com.techzit.bibleversesgreetings,Mobile application,4,5,80.00%,USD,0.01,0.05,0.00,0.00,0.00%
tips-and-tricks.co,http://tips-and-tricks.co,Site,2,4,50.00%,USD,0.01,0.02,0.00,0.00,0.00%
banglalive.com,http://banglalive.com,Site,1,0, --,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Photo Frame, All Photo Frames (Google Play), by CodeEdifice",https://play.google.com/store/apps/details?id=com.codeedifice.photoframe,Mobile application,0,11,0.00%,USD, --,0.00,0.00,0.00,0.00%
economictimes.com,http://economictimes.com,Site,1,1,100.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Color Fill 3D (Google Play), by Good Job Games",https://play.google.com/store/apps/details?id=com.gjg.colorfill3d,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Wynk Music - Download & Play Songs, MP3, HelloTune (Google Play), by Airtel",https://play.google.com/store/apps/details?id=com.bsbportal.music,Mobile application,3,166,1.81%,USD,0.01,0.04,0.00,0.00,0.00%
"Mobile App: Screen Mirroring, Cast Phone To TV - Castto (Google Play), by SoomApps",https://play.google.com/store/apps/details?id=com.soomapps.screenmirroring,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: WAstickerApps Horror and Fear Stickers (Google Play), by StickFans",https://play.google.com/store/apps/details?id=new.WAStickerApps.horror.fear.stickers,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Sudoku (Google Play), by Pink Pointer",https://play.google.com/store/apps/details?id=com.pinkpointer.sudoku,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Brain Training - Logic Puzzles (Google Play), by CL GAMES",https://play.google.com/store/apps/details?id=com.psp.brainmindgames,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Memory Matches 2 (iTunes App Store), by Lumate, LLC",https://itunes.apple.com/us/app/id500028364,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Super Backup & Restore (Google Play), by MobileIdea Studio",https://play.google.com/store/apps/details?id=com.idea.backup.smscontacts,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
updatenews360.com,http://updatenews360.com,Site,1,1,100.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Photobook Photo Editor – Dual Frames Photo Collage (Google Play), by XEN Studios",https://play.google.com/store/apps/details?id=com.xenstudio.books.photo.frame.collage,Mobile application,2,14,14.29%,USD,0.01,0.02,0.00,0.00,0.00%
"Mobile App: Photo Lab Picture Editor: face effects, art frames (Google Play), by Linerock Investments LTD",https://play.google.com/store/apps/details?id=vsin.t16_funny_photo,Mobile application,4,442,0.90%,USD,0.01,0.04,0.00,0.00,0.00%
"Mobile App: Hindi Shayari, DP, Photo,Status - तुम क्या जानोगे (Google Play), by Padma Status Apps",https://play.google.com/store/apps/details?id=com.padmavati.tumkyajanoge,Mobile application,0,7,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Motivational & Inspirational Quotes - Be Positive (Google Play), by Saigold Developer",https://play.google.com/store/apps/details?id=com.saigold.motivationalquotes,Mobile application,1,1,100.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: CITIZEN Calculator (Google Play), by Everyday Calculation Apps",https://play.google.com/store/apps/details?id=com.everydaycalculation.citizencalculator,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Remote Control for All TV - Screen Mirroring (Google Play), by Krishna Tech",https://play.google.com/store/apps/details?id=com.universal.tv.remote.control.screen.mirroring,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Lip Art 3D (Google Play), by ZPLAY Games",https://play.google.com/store/apps/details?id=com.casualpunch.lipart,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Telugu News Cards - Live, Short, Local Telugu News (Google Play), by News Cards",https://play.google.com/store/apps/details?id=com.newscards.app,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
mobileapp::2-com.failigonese.sdfeadc,https://play.google.com/store/apps/details?id=com.failigonese.sdfeadc,Mobile application,1,4,25.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: SHAREall  - Share Files & Send Anywhere (Google Play), by Quantum4u",https://play.google.com/store/apps/details?id=com.pnd.shareall,Mobile application,2,13,15.38%,USD,0.01,0.02,0.00,0.00,0.00%
twentytwowords.com,http://twentytwowords.com,Site,0,9,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Candy Bomb (Google Play), by Cosmo Game",https://play.google.com/store/apps/details?id=com.cosmo.candybomb.free,Mobile application,0,7,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: 1LINE – One Line with One Touch (Google Play), by X-Flow",https://play.google.com/store/apps/details?id=com.one1line.onetouch.onestroke.dotgame,Mobile application,1,2,50.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Birthday Song Bit : Birthday Video Maker With Name (Google Play), by Birthday Lyrical Photo Video Maker Editor Free App",https://play.google.com/store/apps/details?id=com.photovideomaker.birthdaysongwithname.birthdaybitmusic,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Speed VPN-Fast, Secure, Free Unlimited Proxy (Google Play), by SPEED VPN",https://play.google.com/store/apps/details?id=com.app.any.vpn,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Photo video maker (Google Play), by photo music video std",https://play.google.com/store/apps/details?id=com.photo.video.editor.slideshow.videomaker,Mobile application,1,2,50.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: All Language Translator Free: Translate App 2020 (Google Play), by XEN Studios",https://play.google.com/store/apps/details?id=com.xen.all.language.translator.free,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: WHO - Live video chat & Match & Meet me (Google Play), by Socialmate Technologies",https://play.google.com/store/apps/details?id=com.scorp.who,Mobile application,1,1,100.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: UV Video Status & Slideshow Maker , UVideo Status (Google Play), by UnitedVideos",https://play.google.com/store/apps/details?id=com.uv.unitedvideos.videostory.photoslideshow,Mobile application,0,10,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: AppLock - Privacy Guard (Google Play), by Lite Tools Studio",https://play.google.com/store/apps/details?id=com.litetools.applock,Mobile application,1,2,50.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Block Journey (Google Play), by BigPanda Studios",https://play.google.com/store/apps/details?id=com.puzzlegame.block.puzzle.free,Mobile application,2,14,14.29%,USD,0.01,0.03,0.00,0.00,0.00%
"Mobile App: Main Tota Hare Rang Ka :offline video (Google Play), by Kid's Box",https://play.google.com/store/apps/details?id=app.maintota.harerangka.offline,Mobile application,1,2,50.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Square Quick Pro - Photo Editor, No Crop, Collage (Google Play), by Square Quick & Pic Collage Maker",https://play.google.com/store/apps/details?id=club.magicphoto.squarequicknew,Mobile application,1,1,100.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: MEEFF - Make Global Friends (Google Play), by malang",https://play.google.com/store/apps/details?id=com.noyesrun.meeff.kr,Mobile application,0,7,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Chamy - Color by Number (Google Play), by Easybrain",https://play.google.com/store/apps/details?id=com.easybrain.chamy,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: NERF Epic Pranks! (Google Play), by HOMA GAMES",https://play.google.com/store/apps/details?id=games.nerf.epic.pranks.free,Mobile application,0,14,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Dropdom - Jewel Blast (Google Play), by hua weiwei",https://play.google.com/store/apps/details?id=com.dropdom.blockpuzzle.hwwgame,Mobile application,0,24,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Call Voice Changer Male To Female (Google Play), by PIPER App Collection",https://play.google.com/store/apps/details?id=piper.app.maniya.callvoicechanger,Mobile application,2,7,28.57%,USD,0.01,0.02,0.00,0.00,0.00%
"Mobile App: Photo Collage (Google Play), by Sertanta",https://play.google.com/store/apps/details?id=com.sertanta.photocollage.photocollage,Mobile application,1,1,100.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Ringtones from Micromax (Google Play), by Micromax Informatics",https://play.google.com/store/apps/details?id=com.micromaxinfo.ringtone,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Word Connect - Word Games Puzzle (Google Play), by Magic Word Games",https://play.google.com/store/apps/details?id=com.crossword.bible.cookies.find.english,Mobile application,0,28,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Photo Slideshow With Music (Google Play), by Photo And Video Apps",https://play.google.com/store/apps/details?id=ph.app.photoslideshowwithmusic,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Bubble Shooter (Google Play), by Bubble Shooter Games by Ilyon",https://play.google.com/store/apps/details?id=bubbleshooter.pop,Mobile application,1,33,3.03%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: StarMaker Lite: No.1 Sing & Music app (Google Play), by StarMaker Interactive",https://play.google.com/store/apps/details?id=com.starmakerinteractive.thevoice,Mobile application,1,40,2.50%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Talking Tom Cat 2 (Google Play), by Outfit7 Limited",https://play.google.com/store/apps/details?id=com.outfit7.talkingtom2free,Mobile application,2,1,200.00%,USD,0.01,0.02,0.00,0.00,0.00%
"Mobile App: Bouncing Balls (Google Play), by Bubble Shooter Artworks",https://play.google.com/store/apps/details?id=bouncing.balls.artworks,Mobile application,1,7,14.29%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Color Bump 3D (Google Play), by Good Job Games",https://play.google.com/store/apps/details?id=com.colorup.game,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Bubble Shooter 2 (Google Play), by Bubble Shooter Games by Ilyon",https://play.google.com/store/apps/details?id=bubbleshooter.two.pop,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: GK & Current Affairs 2020, Railway, SSC, IBPS (Google Play), by Mukesh Kaushik",https://play.google.com/store/apps/details?id=gk.currentaffairs.india,Mobile application,0,9,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Marathi Status DP 2020- Video Status DP Jokes (Google Play), by InChat-StatusKing",https://play.google.com/store/apps/details?id=com.singularity.marathidpstatus,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Photo Video Editor With Song (Google Play), by Randy Rankin",https://play.google.com/store/apps/details?id=com.gv.photovideoeditorwithsong,Mobile application,1,1,100.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Foot Clinic - ASMR Feet Care (Google Play), by Crazy Labs by TabTale",https://play.google.com/store/apps/details?id=com.crazylabs.foot.doctor,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Viber Messenger - Messages, Group Chats & Calls (Google Play), by Viber Media S.à r.l.",https://play.google.com/store/apps/details?id=com.viber.voip,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Photo Collage (Google Play), by CAM EDITOR STUDIO",https://play.google.com/store/apps/details?id=com.ahihi.photo.collage,Mobile application,1,1,100.00%,USD,0.02,0.02,0.00,0.00,0.00%
"Mobile App: Bubble Shooter Dragon Pop (iTunes App Store), by Da peng Sun",https://itunes.apple.com/us/app/id1316911967,Mobile application,0,19,0.00%,USD, --,0.00,0.00,0.00,0.00%
mobileapp::10002-ca-app-pub-5192271941401916, --,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
sarkariresult.com,http://sarkariresult.com,Site,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Extreme SUV Driving Simulator (Google Play), by AxesInMotion Racing",https://play.google.com/store/apps/details?id=com.aim.rallyhum,Mobile application,1,6,16.67%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Flashlight (Google Play), by Flashlight Inc",https://play.google.com/store/apps/details?id=com.happyhollow.flash.torchlight,Mobile application,1,1,100.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Photo Collage - Photo Frame & Photo Editor (Google Play), by Galaxy App Team",https://play.google.com/store/apps/details?id=com.photoframe.photocollage,Mobile application,1,1,100.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Brain Games: IQ Challenge (Google Play), by Gamejam",https://play.google.com/store/apps/details?id=com.game.jam.brain.puzzle.iq.challenge.test,Mobile application,1,6,16.67%,USD,0.02,0.02,0.00,0.00,0.00%
"Mobile App: Alarmy-Loud Alarm Sounds,Math Alarm Clock for Free (Google Play), by Alarm Clock Alarmy",https://play.google.com/store/apps/details?id=droom.sleepIfUCan,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Tambola (Google Play), by DroidVeda LLP",https://play.google.com/store/apps/details?id=com.bingo.tambola,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Audio MP3 Cutter Mix Converter and Ringtone Maker (Google Play), by AppzCloud Technologies",https://play.google.com/store/apps/details?id=com.appzcloud.audioeditor,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Video Downloader for Instagram -Save Photo,Instake (Google Play), by Photo Downloader & Video Downloader & Story Saver",https://play.google.com/store/apps/details?id=com.instagram.video.downloader.instasave.new,Mobile application,0,10,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Flow Fit: Sudoku (Google Play), by Big Duck Games LLC",https://play.google.com/store/apps/details?id=com.bigduckgames.flowfitsudoku,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
